বাংলাদেশের রাজধানীর নাম কি,ঢাকা
ভারতের রাজধানীর নাম কি,নয়া দিল্লী
নেপালের রাজধানীর নাম কি,কাঠমুন্ডু
সিঙ্গাপুরের রাজধানীর নাম কি,সিঙ্গাপুর সিটি
ইন্দোনেশিয়ার রাজধানীর নাম কি,জাকার্তা
ভুটানের রাজধানীর নাম কি,থিম্পু
পাকিস্তানের রাজধানীর নাম কি,ইসলামাবাদ
মায়ানমারের রাজধানীর নাম কি,নাইপিদো
মালয়েশিয়ার রাজধানীর নাম কি,কুয়ালালামপুর
ব্রুনাইয়ের রাজধানীর নাম কি,বন্দর সেরী
ফিলিপাইনের রাজধানীর নাম কি,ম্যানিলা
কাজাকিস্তানের রাজধানীর নাম কি,আল্মাআতা
উজবেকিস্তানের রাজধানীর নাম কি,তাশখন্দ
চীনের রাজধানীর নাম কি,বেইজিং
উত্তর কোরিয়ার রাজধানীর নাম কি,পিয়ংইয়ং
দক্ষিন কোরিয়ার রাজধানীর নাম কি,সিউল
জাপানের রাজধানীর নাম কি,টকিও
ইরাকের রাজধানীর নাম কি,বাগদাদ
ইরানের রাজধানীর নাম কি,তেহরান
থাইল্যান্ডের রাজধানীর নাম কি,ব্যাংকক
ভিয়েতনামের রাজধানীর নাম কি,হ্যানয়
মালদ্বীপের রাজধানীর নাম কি,মালে
আফগানিস্তানের রাজধানীর নাম কি,কাবুল
কিরগিজিস্তানের রাজধানীর নাম কি,বিশবেগ
ইসরাইলের রাজধানীর নাম কি,জেরুজালেম
কাম্বেদিয়ার রাজধানীর নাম কি,নম্পেন
পূর্ব তিমুর রাজধানীর নাম কি,দিলি
মঙ্গোলিয়ার রাজধানীর নাম কি,উলান বাটর
তাইওয়ানের রাজধানীর নাম কি,তাইপে
বাহরাইনের রাজধানীর নাম কি,মানামা
তুর্কমেনিস্তান রাজধানীর নাম কি,আশাখাবাদ
ফিলিস্তিনের রাজধানীর নাম কি,রামাল্লা
জর্ডানের রাজধানীর নাম কি,আম্মান
তুরস্কের রাজধানীর নাম কি,আস্কারা
কুয়েতের রাজধানীর নাম কি,কুয়েত সিটি
কাতারের রাজধানীর নাম কি,দোহা
সংযুক্ত আরব আমিরাতের রাজধানীর নাম কি,আবুধাবি
সৌদি আরবের রাজধানীর নাম কি,রিয়াদ
লেবাননের রাজধানীর নাম কি,বৈরুত
সিরিয়ার রাজধানীর নাম কি,দামেস্ক
ইয়েমেনের রাজধানীর নাম কি,সানা
মিশরের রাজধানীর নাম কি,কায়রো
