Questions,Answers
বাংলাদেশের আয়তন কত,"১,৪৭,৫৭০"
বাংলাদেশের আয়তন কত বর্গকিলোমিটার,"১,৪৭,৫৭০"
বাংলাদেশের আয়তন কত বর্গ কিলোমিটার,"১,৪৭,৫৭০"
বাংলাদেশের আয়তন কত বর্গমাইল,"৫৬,৯৭৭"
বাংলাদেশের আয়তন কত বর্গ মাইল,"৫৬,৯৭৭"
বাংলাদেশের আয়তন কত বর্গমাইল,"৫৬,৯৭৭"
আয়তনের দিক থেকে বিশ্বে বাংলাদেশের অবস্থান কততম,৯৩ তম
উত্তর ক্রান্তি রেখা বাংলাদেশের কোন খান দিয়ে গেছে,মাঝখান দিয়ে
উত্তর ক্রান্তি রেখা বাংলাদেশ কোথা দিয়ে গেছে,মাঝখান দিয়ে
গ্রিনিচ মান সময় অপেক্ষা বাংলাদেশের সময় কত ঘন্টা আগে,৬ ঘন্টা
গ্রিনিচ মান সময় অপেক্ষা বাংলাদেশ সময় কত ঘন্টা আগে,৬ ঘন্টা
বাংলাদেশের মানচিত্র প্রথম কে অংকন করেন,জেমস রেনেল
হাজার 947 সালে সীমানা কমিশন কি নামে পরিচিত ছিল,র‍্যাডফ্লিক কমিশন
হাজার 947 সালের সীমানা কমিশন কি নামে পরিচিত ছিল,র‍্যাডফ্লিক কমিশন
বাংলাদেশের সর্ব দক্ষিণের উপজেলা কোনটি,টেকনাফ
বাংলাদেশের সর্ব উত্তরের উপজেলা কোনটি,তেতুলিয়া
বাংলাদেশের সর্ব পশ্চিমের উপজেলা কোনটি,শিবগঞ্জ এবং চাপাইনবাবগঞ্জ
আয়তনে বাংলাদেশের বৃহত্তম বিভাগ কোনটি,চট্রগ্রাম
আয়তনে বাংলাদেশের সবচেয়ে ছোটো বিভাগ কোনটি,সিলেট
আয়তনে বাংলাদেশের সবচেয়ে বড় উপজেলা কোনটি,শ্যামনগর এবং  শাতখিরা
আয়তনে বাংলাদেশের সবছেয়ে ছোট উপজেলা কোনটি,বন্দর নারায়ন গঞ্জ
বাংলাদেশের সর্ব উত্তরের সীমান্ত বন্দর কোনটি,বাংলাবান্দা
বাংলাদেশের সবচেয়ে উত্তরের জায়গা কোনটি,বাংলাবান্দা
আয়তনে বাংলাদেশের বৃহত্তম জেলা কোনটি,রাংগামাটি
বাংলাদেশের সব চেয়ে ছোটো জেলা কোনটি,নারায়নগঞ্জ
বাংলাদেশের মোট সীমারেখা কত,৫১৩৮ কিলোমিটার
ভারতের সাথে বাংলাদেশের সীমারেখা কত,৪১৫৬ কিলোমিটার
বাংলাদেশের সমুদ্র উপকূলের দৈর্ঘ্য কত,৭১১ কিলোমিটার
উপকূল হতে বাংলাদেশের অর্থনৈতিক সমুদ্রসীমা কত,২০০ নটিক্যাল মাইল
মিয়ানমারের সাথে বাংলাদেশের সমুদ্র দৈর্ঘ্য কত,২৭১ কিলোমিটার
বাংলাদেশের রাজনৈতিক সমুদ্রসীমা কত,১২ নটিক্যাল মাইল
ফারাক্কা বাঁধ বাংলাদেশের সীমান্ত থেকে কত দূরে অবস্থিত,১৬.৫ কিলোমিটার
আর্যগণ কবে প্রথম বঙ্গভূমিতে আগমন করে,খ্রিস্টপূর্ব দুই হাজার অব্দে।
আর্যগণ কবে প্রথম বাংলায় আগমন করে,খ্রিস্টপূর্ব দুই হাজার অব্দে।
আর্যগণ সর্বপ্রথম কবে বাংলায় আসে,খ্রিস্টাপূর্ব দুই হাজার অব্দে।
তৎকালে বঙ্গ বলতে কোন অঞ্চলকে নির্দেশ করা হতো,উত্তর ও পশ্চিম বঙ্গ
অস্ট্রিক দ্রাবিড় জাতির সাথে কোন জাতির সংমিশ্রণে বাঙালি জাতি গড়ে উঠেছে,আর্য জাতি
বাংলা নামের উৎপত্তি সম্পর্কে কোন গ্রন্থে উল্লেখ আছে,আইন - ই - আকবরী
বাংলা ভাষার উৎপত্তি কোন শতাব্দীতে,সপ্তম শতাব্দী
বাংলা ভাষার আদি স্তরের স্থিতিকাল কোনটি,দশম থেকে চতুর্দশ
বাংলা ভাষার উদ্ভব হয়েছে নিম্নোক্ত কোন ভাষা থেকে,প্রাকৃত
বাংলা ভাষার বয়স কত,১০০০ থেকে ১৪০০ বছর।
বাংলা ভাষা কোন ভাষাগোষ্ঠীর অন্তর্ভুক্ত,ইন্দো- ইউরোপীয়।
বাংলা ভাষার পূর্ব স্তরের নাম কী,প্রাকৃত।
ভারত ও ইউরোপের মধ্যবর্তী স্থানে কোন ভাষা প্রচলিত ছিলো,ইন্দো-ইউরোপীয়
বাংলা লিপির উৎপত্তি কোন লিপি থেকে,ব্রাহ্মী লিপি।
কোন শাসনামলে বাংলা লিপির স্থায়ী রূপ তৈরি করে অক্ষর গঠনের কাজ শুরু হয়,সেন আমলে।
বাংলা মুদ্রাক্ষরের জনক বলা হয় কাকে,চার্লস উইলকিন্স।
ভারতীয় চিত্রলিপির দুটি প্রাচীন রূপ কি,ব্রাহ্মী ও খারোষ্টী।
কোন সম্রাট তার শাসনমালা ব্রাহ্মী লিপিতে উৎকীর্ণ করান,অশোক।
বাংলা লিপি স্থায়ী রূপ লাভ করে কখন,পাঠান আমলে।
বাংলা সাহিত্যের প্রাচীন নিদর্শন কোনটি,চর্যাপদ।
বাংলা সাহিত্যের প্রাচীন কবি কে,শবরপা।
চর্যাপদ আবিষ্কৃত হয় কোথা থেকে,নেপালের রাজগ্রন্থশালা থেকে।
চর্যাপদ আবিষ্কৃত হয় কোথায়,নেপালের রাজগ্রন্থশালা থেকে।
চর্যাপদের বয়স আনুমানিক কত বছর,১০০০ বছর।
বাংলা ভাষায় প্রথম কাব্য সংকলন চর্যাপদের আবিস্কারক কে,ড. হরপ্রসাদ শাস্ত্রী।
চর্যাপদ কোন ধর্মাবলম্বীদের সাহিত্য,সহজিয়া বৌদ্ধ।
হরপ্রসাদ শাস্ত্রী চর্যাপদ যে গ্রন্থে প্রকাশ করেছিলো তার নাম কি,হাজার বছরের পুরানো বাঙালা ভষার।
কোন রাজবংশের আমলে চর্যাপদ রচনা শুরু হয়,পাল।
গাইবান্ধার ভৌগোলিক অবস্থান,"অক্ষাংশ ২৫২৫০ উত্তর, দ্রাঘিমাংশ ৮৯৫০০ পূর্ব"
গাইবান্ধার ভৌগোলিক অবস্থান কি,"অক্ষাংশ ২৫২৫০ উত্তর, দ্রাঘিমাংশ ৮৯৫০০ পূর্ব"
গাইবান্ধার পুরুষ জনসংখ্যা কত,১২৩০৯৩৮ জন
গাইবাান্ধায় পুরুষ জনসংখ্যা কত,১২৩০৯৩৮ জন
গাইবান্ধার মহিলা জনসংখ্যা কত,১১৯৯৬৮৯ জন
গাইবান্ধায় মহিলা জনসংখ্যা কত,১১৯৯৬৮৯ জন
গাইবান্ধার মোট জনসংখ্যা কত,২৪৩০৬২৭ জন
গাইবান্ধার শিক্ষার হার কত,শতকরা ৫৪ ভাগ
গাইবান্ধার উপজেলার সংখ্যা কতটি,৭ টি
গাইবান্ধার উপজেলা কতটি,৭ টি
গাইবান্ধার থানার সংখ্যা কতটি,৭ টি
গাইবান্ধার পৌরসভার সংখ্যা কতটি,৩ টি
গাইবান্ধার ইউনিয়নের সংখ্যা কতটি,৮২ টি
গাইবান্ধার মৌজার সংখ্যা কতটি,১১০৬ টি
গাইবান্ধার গ্রামের সংখ্যা কতটি,১২৪৯ টি
গাইবান্ধার নদীর সংখ্যা কতটি,৫ টি
গাইবান্ধার বিলের সংখ্যা কতটি,৮৮ টি
গাইবান্ধার মসজিদের সংখ্যা কতটি,৩৬৫২ টি
গাইবান্ধার এনজিও'র সংখ্যা কতটি,৪৭ টি
গাইবান্ধার খাদ্যগুদামের সংখ্যা কতটি,১১ টি
গাইবান্ধার খাদ্যগুদামের ধারণ ক্ষমতা কত মেট্রিকটন,৩০২৫০ মেট্রিকটন
গাইবান্ধার ব্যাংকের সংখ্যা কতটি,৭০ টি
গাইবান্ধার টেলিফোন এক্সচেঞ্জ কতটি,৮ টি
গাইবান্ধার সিনেমা হল কতটি,২ টি
গাইবান্ধার ডাকঘর কতটি,১১৭ টি
গাইবান্ধার মহাবিদ্যালয়ের সংখ্যা কতটি,৭৫ টি
